Fecha	temperatura	radiacion	humedad relativa	precipitacion	velocidad viento	mojadura	direccion viento
2022-09-15	17.7	505.0	80	0.0	12.5	0	203.9
2022-09-15	17.4	208.9	79	0.0	10.9	0	191.2
2022-09-15	17.2	219.6	82	0.0	8.5	0	185.6
2022-09-15	17.1	128.9	82	0.0	8.4	0	217.0
2022-09-15	17.0	102.3	83	0.0	8.4	0	243.5
2022-09-15	16.2	25.9	88	0.0	8.6	1	242.9
2022-09-15	15.6	13.5	91	0.0	6.7	3	264.1
2022-09-15	15.2	10.6	92	0.0	5.7	9	273.1
2022-09-15	14.8	8.3	93	0.4	8.2	8	248.5
2022-09-15	14.6	3.3	94	0.0	6.8	7	260.1
2022-09-15	14.5	0.7	95	0.0	2.6	8	278.8
2022-09-15	14.3	0.0	94	0.0	4.5	9	307.1
2022-09-15	14.3	0.0	94	0.4	3.6	10	30.6
2022-09-15	14.3	0.0	95	0.0	5.2	10	93.4
2022-09-15	14.4	0.0	96	0.0	4.8	10	71.4
2022-09-15	14.4	0.0	96	0.0	2.5	10	336.6
2022-09-15	14.4	0.0	97	0.0	5.7	10	228.5
2022-09-15	14.3	0.0	97	0.4	8.1	10	224.3
2022-09-15	14.1	0.0	98	0.2	9.2	10	220.9
2022-09-15	14.0	0.0	98	0.0	12.6	10	219.0
2022-09-15	14.0	0.0	98	0.2	9.3	10	219.1
2022-09-15	14.0	0.0	98	0.0	10.7	9	225.3
2022-09-15	13.9	0.0	98	0.4	11.3	10	236.8
2022-09-15	13.8	0.0	98	1.4	8.4	8	243.0
2022-09-15	13.7	0.0	98	0.0	10.6	7	223.4
2022-09-15	13.4	0.0	99	0.0	11.5	8	187.6
2022-09-15	13.4	0.0	99	0.6	14.2	8	202.5
2022-09-15	13.3	0.0	99	0.2	11.8	8	226.1
2022-09-15	13.3	0.0	99	0.0	12.3	8	220.9
2022-09-15	13.2	0.0	99	0.0	11.6	9	237.6
2022-09-15	13.1	0.0	99	0.0	9.4	9	245.9
2022-09-15	13.0	0.0	99	0.0	8.2	9	281.9
2022-09-15	13.0	0.0	99	0.0	9.1	9	290.9
2022-09-16	13.1	0.0	99	0.0	7.9	7	326.8
